time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-2.720000000000000195e+00,9.999945687641997871e-01,-2.894432228252788800e-03,1.372680819657707413e-03,7.748880851807483580e-04,-5.786759842653698381e-03,2.749835916227188256e-03,1.541827930170542758e-03,0.000000000000000000e+00
-2.589999999999999858e+00,9.999942501920213722e-01,-2.903711784238117814e-03,1.407484702883240188e-03,1.042606148604142621e-03,-5.804510963357083046e-03,2.821011817404120523e-03,2.077036205845847298e-03,0.000000000000000000e+00
-2.459999999999999964e+00,9.999943682345495688e-01,-2.854722691310858027e-03,1.401926588708419857e-03,1.071755279180025642e-03,-5.706461683079157819e-03,2.809960212851699609e-03,2.135504317267478656e-03,0.000000000000000000e+00
-2.330000000000000071e+00,9.999947456635753795e-01,-2.763783936774579907e-03,1.429812561068886587e-03,9.087241774904597979e-04,-5.524990997502581859e-03,2.864637049211179141e-03,1.809543831741824331e-03,0.000000000000000000e+00
-2.200000000000000178e+00,9.999945830825133219e-01,-2.839715285946300526e-03,1.370338140404963722e-03,9.444554539646838470e-04,-5.676863254903383865e-03,2.746028855122012446e-03,1.881126137434118665e-03,0.000000000000000000e+00
-2.080000000000000071e+00,9.999947344854029918e-01,-2.815617934946118214e-03,1.216300277074418333e-03,1.060146568709815443e-03,-5.628673762173600111e-03,2.438560097486351230e-03,2.113440556421474284e-03,0.000000000000000000e+00
-1.939999999999999947e+00,9.999949432175491149e-01,-2.691418883966617461e-03,1.259249734620379547e-03,1.133178638189425227e-03,-5.379999736489757961e-03,2.524589132273415571e-03,2.259576602406081734e-03,0.000000000000000000e+00
-1.820000000000000062e+00,9.999951964245066272e-01,-2.710923040182714426e-03,1.265336280338836281e-03,8.105234598199959409e-04,-5.419812815697818732e-03,2.535057653109091830e-03,1.614184562038570260e-03,0.000000000000000000e+00
-1.689999999999999947e+00,9.999956226286723648e-01,-2.628464244679079576e-03,1.256471714878113193e-03,5.168926740736527140e-04,-5.255647380961360991e-03,2.515652350880299374e-03,1.027179071812399369e-03,0.000000000000000000e+00
-1.550000000000000044e+00,9.999960127369813545e-01,-2.530226951174796481e-03,1.225402115155693359e-03,2.661792054549098809e-04,-5.059818174175635501e-03,2.452143903369401363e-03,5.261568035103116265e-04,0.000000000000000000e+00
-1.419999999999999929e+00,9.999957989518386547e-01,-2.563488350322805538e-03,1.321705865481829275e-03,2.893091003437093254e-04,-5.126230780257314337e-03,2.644886990565067410e-03,5.718414460089949435e-04,0.000000000000000000e+00
-1.290000000000000036e+00,9.999960490923680556e-01,-2.533057464820126850e-03,1.213332040878895880e-03,1.150864518827019275e-04,-5.065852227723197966e-03,2.427239918768285282e-03,2.240257766033862646e-04,0.000000000000000000e+00
-1.159999999999999920e+00,9.999957857428374286e-01,-2.612220091338363689e-03,1.238851488152299630e-03,2.646691296977830951e-04,-5.223802204177892955e-03,2.479077821993122110e-03,5.228653536762130610e-04,0.000000000000000000e+00
-1.030000000000000027e+00,9.999955245854803554e-01,-2.648210861116980907e-03,1.264181146815391730e-03,5.827814954757107964e-04,-5.294966243446394896e-03,2.531440338391077998e-03,1.158866110588644294e-03,0.000000000000000000e+00
