# time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-7.269999999999999574e+00,9.999985436330691702e-01,-8.797548064095602827e-04,1.022099913768439875e-03,1.045980395360480856e-03,1.761649828574422729e-03,-2.042357857727001690e-03,-2.093762035239965340e-03,0.000000000000000000e+00
-7.139999999999999680e+00,9.999985832935198715e-01,-7.943542201766828122e-04,1.075804552590375884e-03,1.022280240646718458e-03,1.590910085123011571e-03,-2.149983608093033668e-03,-2.046272881931677015e-03,0.000000000000000000e+00
-7.009999999999999787e+00,9.999984065773555031e-01,-8.972483127221337913e-04,1.159534566442285480e-03,1.018463452587451724e-03,1.796861444342274855e-03,-2.317239882173409427e-03,-2.039011327575542508e-03,0.000000000000000000e+00
-6.879999999999999893e+00,9.999983111745951447e-01,-1.069242990774414096e-03,1.174515387872940254e-03,9.245977437097002531e-04,2.140661809553757663e-03,-2.347051724177390969e-03,-1.851710207551238033e-03,0.000000000000000000e+00
-6.750000000000000000e+00,9.999981538249150814e-01,-1.143229059649401467e-03,1.168227397622002145e-03,1.010256811968713577e-03,2.288822550879974268e-03,-2.334142691336461590e-03,-2.023187888364804104e-03,0.000000000000000000e+00
-6.620000000000000107e+00,9.999981145872441912e-01,-1.314740195903457958e-03,1.192791532974003593e-03,7.871013485923730778e-04,2.631363640966036602e-03,-2.383511157413779544e-03,-1.577341285715466810e-03,0.000000000000000000e+00
-6.490000000000000213e+00,9.999981141176663701e-01,-1.349136481524095899e-03,1.106984787295772939e-03,8.521599295927469739e-04,2.700164415559989754e-03,-2.211667842259645769e-03,-1.707308597225076514e-03,0.000000000000000000e+00
-6.360000000000000320e+00,9.999980715033669476e-01,-1.382381328923217891e-03,1.201265178498879494e-03,7.092061612148503743e-04,2.766472715342534628e-03,-2.400567242648195092e-03,-1.421735375630649775e-03,0.000000000000000000e+00
-6.230000000000000426e+00,9.999981108976532251e-01,-1.345682271363414333e-03,1.245150405845880763e-03,6.457095444611066866e-04,2.692979063148249943e-03,-2.488560836067594834e-03,-1.294772173935691611e-03,0.000000000000000000e+00
-6.099999999999999645e+00,9.999982305017713902e-01,-1.360120960916414616e-03,1.039886806216071399e-03,7.795509782526767288e-04,2.721867633419852803e-03,-2.077650859767592954e-03,-1.561931947592047924e-03,0.000000000000000000e+00
-5.980000000000000426e+00,9.999981703329549054e-01,-1.446181258326214962e-03,9.609487011340557506e-04,8.027877078842756212e-04,2.893909471150325416e-03,-1.919573111621774913e-03,-1.608355546721991144e-03,0.000000000000000000e+00
-5.849999999999999645e+00,9.999982239692003505e-01,-1.539765263660266160e-03,7.166536331887206780e-04,8.170611651182179292e-04,3.080704184045864567e-03,-1.430789044153908630e-03,-1.636328789867174749e-03,0.000000000000000000e+00
-5.719999999999999751e+00,9.999981222629322763e-01,-1.643081732415326750e-03,6.415523909514767986e-04,8.025980061059985893e-04,3.287195726490468612e-03,-1.280465254231511656e-03,-1.607303253820783649e-03,0.000000000000000000e+00
-5.589999999999999858e+00,9.999979616973272423e-01,-1.696768805534852121e-03,5.655984123258676237e-04,9.368432350262789580e-04,3.394599127272965918e-03,-1.128015545394553528e-03,-1.875604323369185929e-03,0.000000000000000000e+00
-5.459999999999999964e+00,9.999976317675369764e-01,-1.810125790114638531e-03,6.284178018583843088e-04,1.031985953090908516e-03,3.621550803168859835e-03,-1.253096906406704885e-03,-2.066245141278210459e-03,0.000000000000000000e+00
-5.330000000000000071e+00,9.999975899175722605e-01,-1.754400213910445707e-03,7.009723433089696957e-04,1.118425996593722625e-03,3.510370582662132154e-03,-1.398017429593471786e-03,-2.239310234065587657e-03,0.000000000000000000e+00
-5.200000000000000178e+00,9.999973573069246280e-01,-1.788513141297785793e-03,7.339136774827451342e-04,1.244174675800606899e-03,3.578854534994142973e-03,-1.463373552725949879e-03,-2.490973247389356889e-03,0.000000000000000000e+00
